explanation,classified_category
"According to Source of Aid 1, the government of Czechia decided to allocate almost EUR1 million for the training of 20-25 Ukrainian civil aviation pilots in the country.",Financial & Economic Aid
"Under the program ""Strengthening the capacities of public higher education institutions in Ukraine and Maldova in 2023"", Ukrainian and Moldovan higher education institutions were allocated CZK 9,465,527. The source of Grant 2 indicates that CZK 2,777,933 was allocated to Maldivian institutions, so we subtract this amount and count only the CZK 6,687,594 for Ukraine.",Training & Logistics & Support
"Czechia will assist Ukraine in dealing with the consequences of the destruction of the Kakhovka dam and the evacuation of the civilian population in the region. The assistance amounts to CZK 10,000,000.",Uncategorised
"The Ministry of Interior of Czechia has announced that it will provide CZK 60 million to Ukraine and Moldova. Of the 60 million, 45 million will go directly to projects in Ukraine to support internally displaced persons and demining. For this reason, we count only the CZK 45 million.",Financial & Economic Aid
The Ministry of Foreign Affairs of Czechia has announced that it will send a first aid bus to Ukraine. Source of Aid 1 discloses that the bus costs CZK 9.5 million and will be transferred to Ukraine at the end of June.,Financial & Economic Aid
The government of Czechia approved new humanitarian aid to Ukraine in the amount of 15.57 CZK million.,Financial & Economic Aid
"According to Oleh Synehubov, head of Kharkiv's municipal administration, Czechia has contributed EUR 10 million to a healthcare project in the region.",Financial & Economic Aid
"On his visit to Kyiv on 22-23 November, Czech Foreign Minister Lipavský announced that Czechia will donate 5 million crowns for the reconstruction of the Chernihiv Regional Children's Hospital by the year's end.",Financial & Economic Aid
"On his visit to Kyiv on 22-23 November, Czech Foreign Minister Lipavský announced that Czechia will provide Ukraine with 480 butane-fuelled heaters for Dnipro region by the year's end.",Training & Logistics & Support
"DKK 100 million has been allocated to Danish and international organizations through an immediate disbursement fund, where Danish organizations that have a strategic partnership with the Ministry of Foreign Affairs of Denmark can obtain funding for their own or international partners’ work in Ukraine and neighboring countries. Source of aid 3 lists organizations through which funds will be disbursed.


",Financial & Economic Aid
"Denmark is to provide humanitarian aid to Ukraine via the UN’s funds. Among these are DKK 30 million to the UN’s Country-based Pooled Funds, which we report here; DKK 25 million to the UNHCR for the protection of internally displaced persons in Ukraine and addressing their urgent needs; DKK 25 million to UNICEF for the protection of children, education in crisis situations, health and water. We do not count DKK 25 million to UNHCR for Moldovan government.",Financial & Economic Aid
"Denmark is to provide humanitarian aid to Ukraine via the UN’s funds. Among these are DKK 30 million to the UN’s Country-based Pooled Funds; DKK 25 million to the UNHCR for the protection of internally displaced persons in Ukraine and addressing their urgent needs, which we report here; DKK 25 million to UNICEF for the protection of children, education in crisis situations, health and water. We do not count DKK 25 million to UNHCR for Moldovan government.",Financial & Economic Aid
"Denmark is to provide humanitarian aid to Ukraine via the UN’s funds. Among these are DKK 30 million to the UN’s Country-based Pooled Funds; DKK 25 million to the UNHCR for the protection of internally displaced persons in Ukraine and addressing their urgent needs; DKK 25 million to UNICEF for the protection of children, education in crisis situations, health and water, which we count here. We do not count DKK 25 million to UNHCR for Moldovan government.",Financial & Economic Aid
"Cars, generators and more. The operation is coordinated by the Danish Emergency Management Facility. Note that the total sum of 668 million DKK reported in ""Source of Aid 1"" can be divided into 8 million DKK, 20 million DKK (DKH2), 10 million DKK (DKH3), 50 million DKK (DKH4), 50 million DKK (DKH5) and 140 million DKK (DKH6). Additionally, the package consisting of 150 million DKK directed to the World Bank corresponds to the Danish share of 20 million EUR reported in DKF1. We do not consider the remaining packages cited in the source, since they all represent flows going to international organizations: 105 million DKK to UN organizations (UNHCR, OCHA, UNICEF), 115 million DKK to Danish and International organizations and 20 million DKK to the International Red Cross. We consider this aid package to have been pledged entirely in March for Analysis of aid over time purposes.",Financial & Economic Aid
"Construction of a civilian mobile hospital. The operation is coordinated by the Danish Emergency Management Facility. For the further amounts reported in ""Source of Aid 1"", see explanation in DKH1. We consider this aid package to have been pledged entirely in March for Analysis of aid over time purposes.",General Announcements
"Fund of 10 million DKK to finance Danish civil society organizations working in Ukraine. The aid focuses on protection, food and emergency shelter. For an explanation about additional amounts reported in ""Source of Aid 1"", refer to DKH1. We consider this aid package to have been pledged entirely in March for Analysis of aid over time purposes.",Financial & Economic Aid
"Drugs and medical equipment for Ukraine and neighboring countries, aimed at assisting Ukrainian refugees. For an explanation about additional amounts reported in ""Source of Aid 1"", refer to DKH1. Source of Aid 2 reports this as Health related donations. ",Training & Logistics & Support
"Drugs, as a response to a request made by Ukraine through the EU's Crisis Response Team (HERA). For an explanation about additional amounts reported in ""Source of Aid 1"", refer to DKH1. Source of Aid 2 reports these as Health related donations.",Uncategorised
"According to Source of Aid 1, the Ukraine Energy Support Fund has received a donation from Denmark to purchase emergency energy equipment, fuels for electricity production and other support. Source of Aid 2 tells that the funds from the Danish Energy Agency have been utilised. Source of Aid 3 reports that Denmark donated EUR 535,494 through the Danish Energy Agency. We assume that these sources refer to the same donation in April 2022.",Financial & Economic Aid
"Additional 155 million DKK for humanitarian efforts in Ukraine. Since no further information was disclosed, we cannot determine whether the amount will be devoted directly to Ukraine or to international organizations. To avoid underestimating the true extent of assistance, we include this amount in our data.",Financial & Economic Aid
"In August 2022, the Danish Ministry of the Interior reported a reconstruction commitment for the city of  Mykolaiv (Source of Aid 1). Initially, this commitment was over 13.4 million EUR, but increased in November 2022 to 16 million EUR (Source of Aid 2). This donation will report the entire reconstruction effort. ",Financial & Economic Aid
"The Danish humanitarian contribution is stated to amount to EUR 85.4 million in November 2022. Since our dataset covers only EUR 67.2 million at this point, we add the difference (EUR 18.2 million) as an unspecified humanitarian contribution. ",Financial & Economic Aid
"According to Source of Aid 1, Denmark committed additional EUR 25.6 million for a second support package for acute reconstruction and critical energy infrastructure.",Financial & Economic Aid
"2023 Ukraine Fund commitment: Source of Aid 1 and Source of Aid 2 state that in 2023 the Ukraine fund will provide humanitarian aid worth 1.2 billion DKK from which 1 billion DKK will go to Ukraine, and 0.2 billion DKK will go to the greater Eastern European Region, including Ukraine (Source of Aid 3). Since we cannot distinguish between what goes to Ukraine and what does not, we take the entire 1.2 billion DKK as commitment. Still, some packages financed with this fund were considered as financial aid in our dataset. Therefore, we also report part of it in financial aid section.",Financial & Economic Aid
"According to Source of Aid 1, Denmark prepared its first civil support package under the Ukraine fund, amounting to DKK 615 million, where DKK 470 million is allocated towards reconstruction efforts and DKK 145 million is for humanitarian efforts (see DKH16). Of this amount, DKK 1.5 million is not considered as it would be given to the Association of Municipialities in Denmark, which is not directly benefiting Ukraine. This DKK 52.8 million is allocated to the ""Ukraine Energy Support Fund,""",Financial & Economic Aid
"According to Source of Aid 1, Denmark prepared its first civil support package under the Ukraine fund, amounting to DKK 615 million, where DKK 470 million (See DKF3) is allocated towards reconstruction efforts and DKK 145 million is for humanitarian efforts.This DKK 20 million is allocated to the International Commitee for the Red Cross (ICRC). ",Financial & Economic Aid
"According to Source of Aid 1, Denmark prepared its first civil support package under the Ukraine fund, amounting to DKK 615 million, where DKK 470 million (See DKF3) is allocated towards reconstruction efforts and DKK 145 million is for humanitarian efforts.This DKK 25 million is allocated to the United Nations Humanitarian Fund.",Financial & Economic Aid
"According to Source of Aid 1, Denmark prepared its first civil support package under the Ukraine fund, amounting to DKK 615 million, where DKK 470 million (See DKF3) is allocated towards reconstruction efforts and DKK 145 million is for humanitarian efforts.This DKK 100 million is allocated to Danish civil society organisations for the distribution of emergency aid, and humanitarian mine clearance ",Financial & Economic Aid
"Denmark is supporting the Ukrainians with a EUR 40.2 million reconstruction package that, among other things, will provide 20 mobile heating boilers for the city of Mykolaiv and fund repairs to Mykolaiv’s existing central heating system. In particular, aside from the heating units, the package consists mostly of contributions to the European Investment Bank’s activities for critical social infrastructure in Ukraine, support for Local Government Denmark to facilitate cooperation between Ukrainian and Danish municipalities, including between Aalborg and Mykolaiv Municipality, Danish civil society organisations’ work to strengthen Ukrainian civil society and early reconstruction of critical social infrastructure and civil institutions in Mykolaiv city and region.The effort is part of the second reconstruction package from Denmark to Ukraine since the launch of the Ukraine Fund in the spring of 2023.",Financial & Economic Aid
"The Danish Ministry of Climate, Energy and Utilities announced a contribution of 30 million DKK to the Ukraine Energy Support Fund.",Financial & Economic Aid
"According to Source of Aid 1, Denmark presented another support package, The Acute Package II, to be implemented by Partners of the Danish Ministry of Foreign Affairs. This allocation of EUR 17,85 million is to the UNOPS (The United Nations Office for Project Services)",Financial & Economic Aid
"According to Source of Aid 1, Denmark presented another support package, The Acute Package II, to be implemented by Partners of the Danish Ministry of Foreign Affairs. This allocation of EUR 4 million is to the European Bank for Reconstruction and Development´s (EBRD) Crisis Response Special Fund (CRSF)",Financial & Economic Aid
"According to Source of Aid 1, Denmark presented another support package, The Acute Package II, to be implemented by Partners of the Danish Ministry of Foreign Affairs. This allocation of EUR 4,7 million is to the OCHA (The UN Office for the Coordination of Humanitarian Affairs).",Financial & Economic Aid
"According to Source of Aid 1, Denmark presented another support package, The Acute Package II, to be implemented by Partners of the Danish Ministry of Foreign Affairs. This allocation of EUR 1,35 million is to UNICEF (The United Nations Children's Fund).",Financial & Economic Aid
"According to Source of Aid 1, Denmark presented another support package, The Acute Package II, to be implemented by Partners of the Danish Ministry of Foreign Affairs. This allocation of EUR 4 million is to UNHCR (The United Nations High Commissioner for Refugees, UN  Refugee Agency)",Financial & Economic Aid
"According to official Source of Aid 1, Danish Government is contributing with a new humanitarian support package of DKK 250 million. The package provides basic emergency assistance and contributions to international funds. This entry reports DKK 100 million for strategic Danish civil society partners present in Ukraine. ",Financial & Economic Aid
"According to official Source of Aid 1, Danish Government is contributing with a new humanitarian support package of DKK 250 million. The package provides basic emergency assistance and contributions to international funds. This entry reports DKK 42 million for the Ukraine humanitarian fund (OCHA)",Financial & Economic Aid
"According to official Source of Aid 1, Danish Government is contributing with a new humanitarian support package of DKK 250 million. The package provides basic emergency assistance and contributions to international funds. This entry reports DKK 42 million for the UNHCR in Ukraine and Moldova.",Financial & Economic Aid
"According to official Source of Aid 1, Danish Government is contributing with a new humanitarian support package of DKK 250 million. The package provides basic emergency assistance and contributions to international funds. This entry reports DKK 41 million for UNICEF in Ukraine.",Financial & Economic Aid
"According to official Source of Aid 1, Danish Government is contributing with a new humanitarian support package of DKK 250 million. The package provides basic emergency assistance and contributions to international funds. This entry reports DKK 25 million for UNFPA in Ukraine.",Financial & Economic Aid
"Denmark announces its third reconstruction package worth a total of 20 million Euro. The package is divided into 3 support areas; DKK 75 million for energy support under the United Nations Development Programme, DKK 75 million for demining and job creation in Mykolaiv under various multilateral organizations and civil society organizations, and DKK 1 million for agriculture and university initiatives in Mykolaiv under UNOPS. Here we report the first part. The package is financed by the Danish Ukraine Fund.",Financial & Economic Aid
"Denmark announces its third reconstruction package worth a total of 20 million Euro. The package is divided into 3 support areas; DKK 75 million for energy support under the United Nations Development Programme, DKK 75 million for demining and job creation in Mykolaiv under various multilateral organizations and civil society organizations, and DKK 1 million for agriculture and university initiatives in Mykolaiv under UNOPS.  Here we report the second part. The package is financed by the Danish Ukraine Fund.",Financial & Economic Aid
"Denmark announces its third reconstruction package worth a total of 20 million Euro. The package is divided into 3 support areas; DKK 75 million for energy support under the United Nations Development Programme, DKK 75 million for demining and job creation in Mykolaiv under various multilateral organizations and civil society organizations, and DKK 1 million for agriculture and university initiatives in Mykolaiv under UNOPS. Here we report the third part.The package is financed by the Danish Ukraine Fund.",Financial & Economic Aid
"The Minister of Foreign Affairs announces DKK 60 million in support for anti-corruption in Ukraine. The money goes towards the EU's anti-corruption program (EUACI) in Ukraine. It is support for the third phase of the program that Foreign Minister Lars Løkke Rasmussen announced today during a visit to Ukraine. The EU contributes to the upcoming phase of the program with more than DKK 70 million, while Denmark contributes almost DKK 60 million.",Financial & Economic Aid
"Denmark is now giving an extra grant of DKK 10 million to strengthen Danish-Ukrainian municipal cooperation on the reconstruction of Ukraine. The money will go to collaborations between Aarhus and Copenhagen municipalities and the Ukrainian cities of Lviv, Kyiv and Mykolaiv",Financial & Economic Aid
"According to official Source 1, Ukraine Energy Support Fund receives additional EUR 5.4M (DKK 40M) from Denmark.",Financial & Economic Aid
"Denmark contributes EUR 4.7 million to restore power facilities in the Kharkiv and Mykolaiv regions through the Ukraine Energy Support Fund, according to the Ukrainian government (Source of Aid 1). The fund's overview page reports EUR 21.5 million, while our dataset recorded about EUR 17 million. Therefore, we assume this contribution has been made, even though Danish announcement was not found.",Financial & Economic Aid
"On August 23, 2024, the Danish Ministry of Foreign Affairs updated its webpage (Source 1), increasing the total amount of ""civilian support"" from 635 million euros (as noted in the previous archived webpage, Source 2) to 636 million euros. We therefore report the 1 million euro difference, assuming this amount has been newly allocated by the Danish government, although the details of the aid have not yet been announced.",Financial & Economic Aid
"On August 26, 2024, the Energy Community updated its website to detail the financial contributions of its member states to the Ukraine Energy Support Fund (UESF). According to the update, Denmark has allocated approximately 27.5 million euros to the fund so far. Since previous entries (DKH10,15,21,22) reported a total of about 21.7 million euros for Denmark's contributions, we now report the difference of approximately 5.8 million euros.",Financial & Economic Aid
"According to Source of Aid 1, ""the fourth and fifth financial aid packages from Denmark, totaling 64 million euros, were approved for Ukraine, with 44 million euros specifically allocated to the Mykolaiv region"". The new aid packages are aimed at providing support ahead of the autumn-winter period, ensuring water supply for the region, and restoring critically important social infrastructure and public institutions. Although these are labelled as ""financial packages"", they are coded as humanitarian aid following our coding practices. This entry displays the 44 million EUR allocated to the Mykolaiv oblast. ",Financial & Economic Aid
"According to Source of Aid 1, ""the fourth and fifth financial aid packages from Denmark, totaling 64 million euros, were approved for Ukraine, with 44 million euros specifically allocated to the Mykolaiv region"". The new aid packages are aimed at providing support ahead of the autumn-winter period, ensuring water supply for the region, and restoring critically important social infrastructure and public institutions. Although these are labelled as ""financial packages"", they are coded as humanitarian aid following our coding practices. This entry displays the remaining 20 million EUR provided at the national level ",Financial & Economic Aid
"According to Source of Aid 1, Denmark is donating 130 million DKK to rebuild Ukrainian energy infrastructure. ""The Danish donation is financed by the Ministry of Foreign Affairs of Denmark’s Ukraine Fund to support urgent measures and to buy equipment and spare parts enabling to rebuild / restore security of energy supply. The donation will be executed though UNDP, Energy Community, Danish Refugee Council, and Danish Red Cross"".",Financial & Economic Aid
"On December 5th, 2024, Minister for European Affairs Marie Bjerre announced during her trip to Ukraine that Denmark will support the Ukrainian Energy Community with DKK 45 million, which is corresponding to approx. EUR 6 million. The report published by European Pravda a day after the original announcement suggests this aid will be provided through EU's Ukraine Energy Support Fund (UESF). This new contribution has been reflected in the UESF website. Upon comparing the latest version (Source of Aid 3) and that archived in September (Source of Aid 4), it can be confirmed that Denmark's contribution increased  by 6,140,315 EUR between those two periods. Here we reported the number shown in UESF website, as it offers a more precise value.",Financial & Economic Aid
"On April 21, the Prime Minister announced to provide additional military aid for 600 million DKK. She declared that this would bring the total military assistance to Ukraine to 1 billion DKK. This implies that Denmark has previously provided military assistance worth 400 million DKK (see ""Source of Aid 1""). This prior assistance includes at least the announcement to send anti-tank missiles, anti-aircraft systems, drones as well as protective vests and hygiene kits (see ""Source of Aid 2"", ""Source of Aid 3""). ""Source of Aid 4"" reports that as part of the 600 million DKK, Denmark sent armored personnel carriers, anti-tank mines and mortars as well as mortar shells. According to Source of Aid 2, Denmark has approved the delivery of the remaining M113 APCs and misc. other in-kind military goods from this package. We therefore consider this package as being entirely delivered.",Air Defense
"On April 21, the Prime Minister announced to provide additional military aid for 600 million DKK. She declared that this would bring the total military assistance to Ukraine to 1 billion DKK. This implies that Denmark has previously provided military assistance worth 400 million DKK (see ""Source of Aid 1""). This prior assistance includes at least the announcement to send anti-tank missiles, anti-aircraft systems, drones as well as protective vests and hygiene kits (see ""Source of Aid 2"", ""Source of Aid 3""). ""Source of Aid 4"" reports that as part of the 600 million DKK, Denmark sent armored personnel carriers, anti-tank mines and mortars as well as mortar shells. According to Source of Aid 2, Denmark has approved the delivery of the remaining M113 APCs and misc. other in-kind military goods from this package. We therefore consider this package as being entirely delivered.",Air Defense
"On April 21, the Prime Minister announced to provide additional military aid for 600 million DKK. She declared that this would bring the total military assistance to Ukraine to 1 billion DKK. This implies that Denmark has previously provided military assistance worth 400 million DKK (see ""Source of Aid 1""). This prior assistance includes at least the announcement to send anti-tank missiles, anti-aircraft systems, drones as well as protective vests and hygiene kits (see ""Source of Aid 2"", ""Source of Aid 3""). ""Source of Aid 4"" reports that as part of the 600 million DKK, Denmark sent armored personnel carriers, anti-tank mines and mortars as well as mortar shells. According to Source of Aid 2, Denmark has approved the delivery of the remaining M113 APCs and misc. other in-kind military goods from this package. We therefore consider this package as being entirely delivered.",Air Defense
"On April 21, the Prime Minister announced to provide additional military aid for 600 million DKK. She declared that this would bring the total military assistance to Ukraine to 1 billion DKK. This implies that Denmark has previously provided military assistance worth 400 million DKK (see ""Source of Aid 1""). This prior assistance includes at least the announcement to send anti-tank missiles, anti-aircraft systems, drones as well as protective vests and hygiene kits (see ""Source of Aid 2"", ""Source of Aid 3""). ""Source of Aid 4"" reports that as part of the 600 million DKK, Denmark sent armored personnel carriers, anti-tank mines and mortars as well as mortar shells. According to Source of Aid 2, Denmark has approved the delivery of the remaining M113 APCs and misc. other in-kind military goods from this package. We therefore consider this package as being entirely delivered.",Air Defense
"On April 21, the Prime Minister announced to provide additional military aid for 600 million DKK. She declared that this would bring the total military assistance to Ukraine to 1 billion DKK. This implies that Denmark has previously provided military assistance worth 400 million DKK (see ""Source of Aid 1""). This prior assistance includes at least the announcement to send anti-tank missiles, anti-aircraft systems, drones as well as protective vests and hygiene kits (see ""Source of Aid 2"", ""Source of Aid 3""). ""Source of Aid 4"" reports that as part of the 600 million DKK, Denmark sent armored personnel carriers, anti-tank mines and mortars as well as mortar shells. According to Source of Aid 2, Denmark has approved the delivery of the remaining M113 APCs and misc. other in-kind military goods from this package. We therefore consider this package as being entirely delivered.",Air Defense
"On April 21, the Prime Minister announced to provide additional military aid for 600 million DKK. She declared that this would bring the total military assistance to Ukraine to 1 billion DKK. This implies that Denmark has previously provided military assistance worth 400 million DKK (see ""Source of Aid 1""). This prior assistance includes at least the announcement to send anti-tank missiles, anti-aircraft systems, drones as well as protective vests and hygiene kits (see ""Source of Aid 2"", ""Source of Aid 3""). ""Source of Aid 4"" reports that as part of the 600 million DKK, Denmark sent armored personnel carriers, anti-tank mines and mortars as well as mortar shells. According to Source of Aid 2, Denmark has approved the delivery of the remaining M113 APCs and misc. other in-kind military goods from this package. We therefore consider this package as being entirely delivered.",Air Defense
"On April 21, the Prime Minister announced to provide additional military aid for 600 million DKK. She declared that this would bring the total military assistance to Ukraine to 1 billion DKK. This implies that Denmark has previously provided military assistance worth 400 million DKK (see ""Source of Aid 1""). This prior assistance includes at least the announcement to send anti-tank missiles, anti-aircraft systems, drones as well as protective vests and hygiene kits (see ""Source of Aid 2"", ""Source of Aid 3""). ""Source of Aid 4"" reports that as part of the 600 million DKK, Denmark sent armored personnel carriers, anti-tank mines and mortars as well as mortar shells. According to Source of Aid 2, Denmark has approved the delivery of the remaining M113 APCs and misc. other in-kind military goods from this package. We therefore consider this package as being entirely delivered.",Air Defense
"On April 21, the Prime Minister announced to provide additional military aid for 600 million DKK. She declared that this would bring the total military assistance to Ukraine to 1 billion DKK. This implies that Denmark has previously provided military assistance worth 400 million DKK (see ""Source of Aid 1""). This prior assistance includes at least the announcement to send anti-tank missiles, anti-aircraft systems, drones as well as protective vests and hygiene kits (see ""Source of Aid 2"", ""Source of Aid 3""). ""Source of Aid 4"" reports that as part of the 600 million DKK, Denmark sent armored personnel carriers, anti-tank mines and mortars as well as mortar shells. According to Source of Aid 2, Denmark has approved the delivery of the remaining M113 APCs and misc. other in-kind military goods from this package. We therefore consider this package as being entirely delivered.",Air Defense
"On April 21, the Prime Minister announced to provide additional military aid for 600 million DKK. She declared that this would bring the total military assistance to Ukraine to 1 billion DKK. This implies that Denmark has previously provided military assistance worth 400 million DKK (see ""Source of Aid 1""). This prior assistance includes at least the announcement to send anti-tank missiles, anti-aircraft systems, drones as well as protective vests and hygiene kits (see ""Source of Aid 2"", ""Source of Aid 3""). ""Source of Aid 4"" reports that as part of the 600 million DKK, Denmark sent armored personnel carriers, anti-tank mines and mortars as well as mortar shells. According to Source of Aid 2, Denmark has approved the delivery of the remaining M113 APCs and misc. other in-kind military goods from this package. We therefore consider this package as being entirely delivered.",Air Defense
"Denmark pledged to deliver one Harpoon coastal defense missile system, together with an undisclosed number of missiles and other equipment such as ballistic vests. As the Defence Minister of Denmark stated in an interview on May 31, the total military aid has by then reached 2 billion DKK (see ""Source of Aid 1""). So accounting for the reported 1 billion DKK in DKM1, we only report 1 billion DKK in this entry in order to avoid double counting. We report this new shipment of Harpoon coastal defence systems and missiles as having been pledged in May as the announcement was done in that month. This is done only for Analysis of aid over time purposes.",Air Defense
"Denmark pledged to deliver one Harpoon coastal defense missile system, together with an undisclosed number of missiles and other equipment such as ballistic vests. As the Defence Minister of Denmark stated in an interview on May 31, the total military aid has by then reached 2 billion DKK (see ""Source of Aid 1""). So accounting for the reported 1 billion DKK in DKM1, we only report 1 billion DKK in this entry in order to avoid double counting. We report this new shipment of Harpoon coastal defence systems and missiles as having been pledged in May as the announcement was done in that month. This is done only for Analysis of aid over time purposes.",Air Defense
"Denmark pledged to deliver one Harpoon coastal defense missile system, together with an undisclosed number of missiles and other equipment such as ballistic vests. As the Defence Minister of Denmark stated in an interview on May 31, the total military aid has by then reached 2 billion DKK (see ""Source of Aid 1""). So accounting for the reported 1 billion DKK in DKM1, we only report 1 billion DKK in this entry in order to avoid double counting. We report this new shipment of Harpoon coastal defence systems and missiles as having been pledged in May as the announcement was done in that month. This is done only for Analysis of aid over time purposes.",Air Defense
"During the international donors conference in Copenhagen, the Danish government committed a new package of approximately DKK 820 million for financing weapons and training for Ukraine. Previously, the Danish government informed that it would allocate DKK 100 million to train Ukrainian solders (Source of aid 2), indicating that it will be included in the aid package during the conference. Thus, we consider the costs of the training program to be included in DKK 820 million package. Additionally, the Danish contribution to joint financing of Zuzana-2 howitzers is done with means from this package. The joint project is set between Denmark, Germany and Norway. ",Artillery & Heavy Weapons
"On October 2, Denmark released new information that their official military commitment to Ukraine now amounts to DKK 3.8 billion, or EUR 510 million. We therefore attribute the difference between our military commitment numbers until that point (DKK 2.820 billion) and the official numbers until November 20 (Release 8), DKK 3.8 billion, which amounts to DKK 980 million.",Financial & Economic Aid
"On December 21, a new announcement by the Danish Defence Minister stated that DKK 300 million (EUR 42.8 million) would be given as further military aid to Ukraine. The money will be donated via the UK-led International Fund for Ukraine, which is used to provide military equipment and other support to Ukraine's armed forces. This is in accordance with the Danish aid overview page (Source of Aid 2), which displays the Danish military contribution as EUR 565 million in December. Source of aid 3 published in March 2023 specified that Denmark provided 370 DKK million, and we, therefore, changed it to 370 DKK.",Artillery & Heavy Weapons
"The official Danish information on the sum of military aid committed to Ukraine states in December 2022 that the Danish contribution amounts to EUR 565 million. In this entry, we report the difference to our current value (EUR 550 million) and the stated value, which amounts to EUR 10 million, which is reported in this entry. ",Financial & Economic Aid
"Original 5.4 DKK billion for 2023 Ukraine Fund commitment: In March 2023 (Source of aid 1), Denmark announced its intention to establish a Ukraine fund dedicated to financing future aid for Ukraine. The initial agreement outlined a commitment of 5.4 DKK billion for military support in 2023, 1.2 DKK billion for civilian support, and 0.4 DKK billion for business initiatives. However, for military support, the agreement also allocated an unknown amount of funds for 2024-2026, dedicated to replenishing the equipment donated from the army stocks in 2023.

In May 2023 (Source of aid 2), an official overview revealed that the total amount allocated for 2024-2027 was 5.3 DKK billion. Additionally, it was announced in May 2023 that these funds would be increased by a total of 21.9 DKK billion. Of this, 7.5 DKK billion was earmarked for 2023, 10.4 DKK billion for 2024, and 1 DKK billion for each year from 2025 to 2028.

Finally, in June (Source of aid 3), the parliament agreed on the final version of the Ukraine fund and published the agreement. It specified that 32.6 DKK billion of military aid under the Ukraine fund would be distributed as follows: 12.9 DKK billion for 2023, 13.2 DKK billion for 2024, 2.3 DKK billion for 2025, 1.8 DKK billion for 2026, 1.4 DKK billion for 2027, and 1 DKK billion for 2028. Therefore, this information is used to allocate these commitments over time.",Artillery & Heavy Weapons
"Additional 7.5 DKK billion for 2023 Ukraine Fund commitment: In March 2023 (Source of aid 1), Denmark announced its intention to establish a Ukraine fund dedicated to financing future aid for Ukraine. The initial agreement outlined a commitment of 5.4 DKK billion for military support in 2023, 1.2 DKK billion for civilian support, and 0.4 DKK billion for business initiatives. However, for military support, the agreement also allocated an unknown amount of funds for 2024-2026, dedicated to replenishing the equipment donated from the army stocks in 2023.

In May 2023 (Source of aid 2), an official overview revealed that the total amount allocated for 2024-2027 was 5.3 DKK billion. Additionally, it was announced in May 2023 that these funds would be increased by a total of 21.9 DKK billion. Of this, 7.5 DKK billion was earmarked for 2023, 10.4 DKK billion for 2024, and 1 DKK billion for each year from 2025 to 2028.

Finally, in June (Source of aid 3), the parliament agreed on the final version of the Ukraine fund and published the agreement. It specified that 32.6 DKK billion of military aid under the Ukraine fund would be distributed as follows: 12.9 DKK billion for 2023, 13.2 DKK billion for 2024, 2.3 DKK billion for 2025, 1.8 DKK billion for 2026, 1.4 DKK billion for 2027, and 1 DKK billion for 2028. Therefore, this information is used to allocate these commitments over time.",Artillery & Heavy Weapons
"Additional 2.3 DKK billion for 2023 Ukraine Fund commitment: In November 2023 (Source of Aid 1), the parliament increased the military part of Ukraine fund by 25.8 DKK billion. The distribution of additional funds was the following: 2.3 DKK billion for 2023, 10.5 DKK billion for 2025, 7.4 DKK billion for 2026, and 5.6 DKK billion for 2027.",Financial & Economic Aid
"According to Source of Aid 1, Denmark provides Ukraine with a number of weapons and ammunition in its 9th military aid package. The pledge also includes DKK 100 million provided through NATO (reported below). The package is worth DKK 1 billion, which falls under the 2023 Ukraine Fund framework. We account for DKK 900 mil. here, subtracting the contrubution through NATO. Source of Aid 2 states that Denmark has provided 2000 155mm shells to Ukraine. We report this value here, as this item has not been committed or disclosed in another package.",Ammunition & Explosives
"According to Source of Aid 1, Denmark provides Ukraine with a number of weapons and ammunition in its 9th military aid package. The pledge also includes DKK 100 million provided through NATO (reported below). The package is worth DKK 1 billion, which falls under the 2023 Ukraine Fund framework. We account for DKK 900 mil. here, subtracting the contrubution through NATO. Source of Aid 2 states that Denmark has provided 2000 155mm shells to Ukraine. We report this value here, as this item has not been committed or disclosed in another package.",Ammunition & Explosives
"According to Source of Aid 1, Denmark provides Ukraine with a number of weapons and ammunition in its 9th military aid package. The pledge also includes DKK 100 million provided through NATO (reported below). The package is worth DKK 1 billion, which falls under the 2023 Ukraine Fund framework. We account for DKK 900 mil. here, subtracting the contrubution through NATO. Source of Aid 2 states that Denmark has provided 2000 155mm shells to Ukraine. We report this value here, as this item has not been committed or disclosed in another package.",Ammunition & Explosives
"According to Source of Aid 1, Denmark provides Ukraine with a number of weapons and ammunition in its 9th military aid package. The pledge also includes DKK 100 million provided through NATO (reported below). The package is worth DKK 1 billion, which falls under the 2023 Ukraine Fund framework. We account for DKK 900 mil. here, subtracting the contrubution through NATO. Source of Aid 2 states that Denmark has provided 2000 155mm shells to Ukraine. We report this value here, as this item has not been committed or disclosed in another package.",Ammunition & Explosives
"According to Source of Aid 1, Denmark provides Ukraine with a number of weapons and ammunition in its 9th military aid package. The pledge also includes DKK 100 million provided through NATO (reported below). The package is worth DKK 1 billion, which falls under the 2023 Ukraine Fund framework. We account for DKK 900 mil. here, subtracting the contrubution through NATO. Source of Aid 2 states that Denmark has provided 2000 155mm shells to Ukraine. We report this value here, as this item has not been committed or disclosed in another package.",Ammunition & Explosives
