activity_id,announcement_date,donor,explanation,reporting_currency,measure,source_reported_value_EUR
FRH8,2022-05-30,France,In-kind donation of 12 ambulances.,USD,Allocation,3543300.0
TWH10,2022-05-31,Taiwan,"Donation worth 500000 USD, directed to humanitarian assistance in Zaporizhzhia. A government white paper on aid activities to Ukraine later confirmed the numbers.",USD,Allocation,465000.0
EEH1,2022-05-31,Estonia,"The Estonian Ministry of Foreign Affairs states that Estonian public sector has given humanitarian aid worth EUR4.1 million to Ukraine via international organisations (UNHCR, OCHA, ICRC), Estonian civil society organisations and the Estonian Red Cross, as well as in material assistance.",EUR,Allocation,4100000.0
DKM2,2022-05-31,Denmark,"Denmark pledged to deliver one Harpoon coastal defense missile system, together with an undisclosed number of missiles and other equipment such as ballistic vests. As the Defence Minister of Denmark stated in an interview on May 31, the total military aid has by then reached 2 billion DKK (see ""Source of Aid 1""). So accounting for the reported 1 billion DKK in DKM1, we only report 1 billion DKK in this entry in order to avoid double counting. We report this new shipment of Harpoon coastal defence systems and missiles as having been pledged in May as the announcement was done in that month. This is done only for Analysis of aid over time purposes.",DKK,Allocation,130000000.0
TWH8,2022-05-31,Taiwan,"Donation worth 500000 USD, directed to humanitarian assistance in Mykolaiv. A government white paper on aid activities to Ukraine later confirmed the numbers.",USD,Allocation,465000.0
TWH9,2022-05-31,Taiwan,"Donation worth 500000 USD, directed to humanitarian assistance in Sumy. A government white paper on aid activities to Ukraine later confirmed the numbers.",USD,Allocation,465000.0
TWH6,2022-05-31,Taiwan,Donation worth 2 million USD directed to Kharkiv for schools and infrastructure. A government white paper on aid activities to Ukraine later confirmed the numbers.,USD,Allocation,1860000.0
TWH7,2022-05-31,Taiwan,"Donation worth 500000 USD, directed to humanitarian assistance in Chernihiv. A government white paper on aid activities to Ukraine later confirmed the numbers.",USD,Allocation,465000.0
CZH8,2022-06-01,Czechia,Donation of two temporary bridges for civilian transport. ,USD,Allocation,525803.0
NOH4,2022-06-01,Norway,"According to Source of Aid 2, Norway has provided aid worth NOK 310 million to Ukraine through the international Red Cross and Red Cresent Societies. In line with our upper bound approach, we report this value here. Source of Aid 2 reports this value in June 2022, which is also why we report it for this month for the sake of aid over time purposes.",NOK,Allocation,27280000.0
SEM5,2022-06-02,Sweden,"As part of the total package of 1 billion SEK (""Source of Aid 1""), Sweden announced to provide additional 578 million SEK as grant directed to the Armed Forces of Ukraine, with reference to an earlier grant of 500 million SEK (see ""SEM2""). See also SEH4, SEM4, SEM6 for the other parts of the total 1 billion SEK package.",SEK,Allocation,50864000.0
SEH4,2022-06-02,Sweden,"As a part of the total package comprising 1 billion SEK, Sweden also announced to provide 100 million SEK for humanitarian purposes. According to ""Source of Aid 1"" this money is provided through the EU Civil Protection Mechanism on the one hand and to the UN on the other hand. As we cannot disentangle these two parts, we report the total sum. Note that SEM4 provides an overview of the remaining part of the package, comprising 900 million SEK.",SEK,Allocation,8800000.0
SEM6,2022-06-02,Sweden,"As part of the total package of 1 billion SEK (""Source of Aid 1""), Sweden also announced to provide 60 million SEK as contribution to a NATO fund that aims to equip the Ukrainian Armed Forces (""Source of Aid 1""). See also SEH4, SEM4, SEM5 for the other parts of the total 1 billion SEK package.",SEK,Allocation,5280000.0
SEM4,2022-06-02,Sweden,"""Source of Aid 1"" lists several military in-kind donations as part of the total amount of 1 billion SEK that the government announced. Note that this is divided into the following entries: 100 million SEK reflect humanitarian aid (see SEH3), 578 million SEK and 60 million SEK represent grants with military purpose (SEM5 and SEM6) and the remaining 262 million SEK out of the total package is allocated for Weapons and Equipment.",SEK,Allocation,23056000.0
CYH2,2022-06-03,Cyprus,"On June 3, it was reported that a third tranche of humanitarian aid (the first two tranches are covered in CYH1) is ready to be sent to Ukraine. According to ""Source of Aid 1"", this has a value of 500,000 EUR and ""includes mainly medical equipment such as respirators, defibrillators and first aid supplies"".",EUR,Allocation,500000.0
ATH3,2022-06-03,Austria,"Austria has sent 20 ambulances to Ukraine, following a commitment from the Chancellor. Note that ""Source of Aid 1"" also lists 16 other ambulances, provided by the city of Vienna, which gives a total of 36 ambulances provided by Austria. According to Source of Aid 1, the Austrian Development Agency paid for the package. Therefore, we assume that it is part of the budget of ATH2.",USD,Allocation,10629900.0
HRH4,2022-06-06,Croatia,"16.4 tonnes of aid worth HRK 247311 (EUR 33000) were sent by the Vukovar-Srijem county with the help of cities and municipalities. The aid consists mainly of food, baby food, water and cosmetics.",EUR,Allocation,33000.0
CZH9,2022-06-07,Czechia,"The shipment amounts to 100 million CZK and includes medical equipment, firefighting equipment and workwear. Among all, it also includes 3.64 million disposable gloves and around 500,000 single-use protective suits.",CZK,Allocation,4200000.0
IEH9,2022-06-07,Ireland,"In Source  of Aid 1, the Ministry of Foreign Affairs reported that two containerised water treatment plants had been donated. Source of Aid 3 places this donation on June 9th, 2022.",USD,Allocation,604.0
NOM5,2022-06-07,Norway,"According to Source of Aid 1, Norway has delivered 23 M109 artillery guns as well as an undisclosed number of equipment, spare parts and ammunition for the howitzer. Since the announcement came after the package has already been delivered, we report it as having been announced and delivered until June 7. Source of Aid 2 (was publised later) mentions 5000 155mm Artillery shells, additionally to 5000 already donated. We report the additional 5000 155mm shells in the next entry. The initial 5000 155mm shells mentioned in Source of Aid 2 are reported in this donation, changing the undisclosed amount from Source of Aid 1 into 5000. Since the majority of this aid package was committed in June and no earlier sources for it can be found, we consider it to have been pledged entirely in June.",USD,Allocation,48010163.0
KOH3,2022-06-08,South Korea,South Korea has decided to provide assistance worth approximately US$1.2 million to Ukraine through the International Atomic Energy Agency (IAEA) to support the safe and secure operation of Ukraine’s nuclear power plants under the threat of military conflict,USD,Allocation,1116000.0
EUH4,2022-06-09,EU (Commission and Council),"The EU allocated an additional 205 million EUR in humanitarian assistance for Ukraine, according to commissioner for Crisis Management, Janez Lenarčič ",EUR,Allocation,205000000.0
FIM3,2022-06-10,Finland,"The government stated that it has made the decision to send further defence materiel to Ukraine. However, the government explicitly mentions that it will not provide further information on the shipment. Source of Aid 3 states that between October and February, Finland has provided military aid worth 92.3 million EUR. If we subtract the 29.3 million EUR in donation FIM1 and the 8.25 million EUR reported in FIM4, we arrive at a value of 54.75 million EUR. Since we would need to split his up between FIM3 and FIM2, we decide to report this value entirely in this donation ID. According to the Source of Delivery, Finland delivered military aid worth 160 million EUR, which includes donation IDs FIM1, FIM3, FIM4, FIM7.",EUR,Allocation,54750000.0
SIM1,2022-06-14,Slovenia,"Undisclosed number of rifles, ammunitions and helmets. The EU contribution of 450 million EUR + 50 million EUR, cited by ""Source of Aid 1"", is reported in EUM1. The military assistance worth 163,000 EUR and mentioned in ""Source of Aid 2"" is reported in SIH1. According to the Slovak minister of Foreign Affairs, Slovenia's military assistance to Ukraine amounts to 7 million EUR. We report the amount under the column ""Monetary Value as Given by Source"" and list all items found in ""Item"". According to the Slovak minister of Foreign Affairs (see ""Source of Aid 4""), Slovenia has also donated a total of 3,2 million EUR in humanitarian aid to Ukraine. This is in line with our narrative, since we count a total of 2,083 million EUR (SIH1-SIH5)  and discard the 1,1 million EUR promised to international organisations that are not explicitly active in Ukraine (2,083+ 1,1= 3,2)",USD,Allocation,6510000.0
SIM2,2022-06-16,Slovenia,"As per Source of Aid 1, Slovenian Defense Minister confirmed that Slovenia has sent 35 infantry fighting vehicles to Ukriane. Source of Aid 2 mentions that the infantry vehicles delivered by Slovenia are of type M80A.",USD,Allocation,23079085.0
EEH3,2022-06-16,Estonia,"On June 16, Estonia donated five buses to the Vyshneve City Community to evacuate people from high-risk areas. This is assumed to be part of 2.9 million reconstruction pledge made by Estonia on 5 May 2022.",USD,Allocation,386610.0
SKM7,2022-06-16,Slovakia,"Donation of four Mi-17 and one Mi-2 helicopters and ""thousands"" of multiple rocket launchers. Since ""Source of Aid 2"" mentions the shipment of ""thousands"" of rocket launchers, we approximate the number to 2000 units.",USD,Allocation,70912500.0
FRH9,2022-06-17,France,"Donation of 31 tons of field crop seeds. The shipment includes several different types of seeds: beet, carrot, cabbage, cauliflower, chives, cucumber, zucchini and tomato, among others – enough to plant 23,475 acres of farmland and vegetable gardens and harvest up to 260,000 tons of food. We do not consider the private donation of 600 Tons of potato plants by the French Federation of Seed Potato Growers (mentioned in ""Source of Aid 1""). The aid is not quantifiable in monetary terms.",USD,Allocation,1084275.0
TWH11,2022-06-20,Taiwan,"Donation worth 500000 USD, directed to humanitarian assistance in Bucha. According to ""Source of Aid 1"", Taiwan has donated a total amount of 13,2 million USD (besides the 500000 USD newly committed to Bucha). Since we discard the 1,2 million USD donated to the Orthodox church for the reconstruction of churches in Ukraine, we only count 12 million USD (see TWH1 -TWH8).",USD,Allocation,465000.0
KOH4,2022-06-21,South Korea,"According to the official statement of the Korean Ministry of Foreign Affairs, the Korean government has decided to provide an additional US$50 million in humanitarian assistance.",USD,Allocation,46500000.0
USH6,2022-06-24,United States,"In March and May 2022, the US announced the provision of humanitarian aid to Ukraine through USAID and directly with the state budget. (Source of aid 1 and 2). Later this year, congressional research service (Source of aid 3) and USAID documents (Source of aid 4) revealed that only approximately 1.2 billion USD were disbursed in FY2022. Thus, since the fiscal year is over, we report disbursements here using Source of aid 4 to indicate the dynamic over time. Therefore a total of 1.2 billion USD is reported in  USH3, USH5-USH9. Please note that we report assistance to the energy sector of Ukraine separately in USH2 and USH4 since a different department of the US government provided it.",USD,Allocation,209673505.26000002
LTF2,2022-06-26,Lithuania,"According to the official WB list, the Lithuania comitted to a guarantee of PEACE IPF, which was not listed in the previous donations. The project's official documents state that it started in June 2022, but the value was not assigned to each donor at the time.",EUR,Allocation,10000000.0
UKH6,2022-06-26,United Kingdom,10 GBP million in materials and equipment to Ukraine Railways to repair rail infrastructure and help get grain out of the country by rail,GBP,Allocation,11600000.0
NLF2,2022-06-26,Netherlands,"According to the official WB list, the Netherlands comitted to a guarantee of PEACE IPF, which was not listed in the previous donations. The project's official documents state that it started in June 2022, but the value was not assigned to each donor at the time.",USD,Allocation,19530000.0
NZM7,2022-06-27,New Zealand,"New Zealand announced to provide NZD 4.5 million to the NATO trust fund to ensure the procurement of non-lethal military aid. Source of Aid 1 mentions that this package comes on top of an earlier commitment to the same NATO trust fund over NZD 4.24 million, which is reported in donation ID NZM2. ",NZD,Allocation,2655000.0
PLM2,2022-06-27,Poland,"On June 27 (see ""Source of Aid 4""), Michał Dworczyk, the head of the Chancellery of the Prime Minister, said in a interview by Radio Plus that Poland has sent a total amount of 1,8 billion EUR in military aid to Ukraine. Source of Aid 1 lists the first batch of the Polish military aid in April, which is why we consider the entire commitment for the month April for analysis of aid over time purposes.",EUR,Allocation,1800000000.0
CAF4,2022-06-28,Canada,"Prime Minister Trudeau announced the provision of a 200 million CAD loan through the IMF to Ukraine. Furthermore, ""Source of Aid 1"" mentions additional humanitarian assistance that is reported in CAH5, CAH6, CAH7. Moreover, ""Source of Aid 1"" re-iterates the pledge of Canada at the Stand Up for Ukraine Event that is covered in CAH3. According to a resolution issued by the Ukranian government (Source 3), the loan maturity is 10 years and grace period is 4.5 years, while the interest rate is  ""equal to the basic interest rate of the International Monetary Fund"". A press release issued by the Ukrainian Ministry of Finance (Source 4) further detailed the loan conditon, clarifying the interest rate p.a. is 1.69%",CAD,Allocation,140000000.0
ESM6,2022-06-28,Spain,"According to the report on Spanish Exports of Defense Materials, Other Materials and Dual-Use Products and Technologies prepared by the Ministry of Industry, Commerce and Tourism, in the first half of 2022, it was exported to Ukraine material worth another 209.7 million euros. Since many items were not disclosed during this period, we report the difference in this entry. Among them, Spain provided 118 EUR million worth of ammunition for 155mm howitzers on 28 June.  Source of aid 2 specified that in 2022, Spain delivered 4272 rounds of ammunition for a 155mm howitzer; we divide them equally between two donations made in 2022. ",EUR,Allocation,118360000.0
IEH10,2022-06-28,Ireland,"Ireland has sent 10 additional ambulances, thus bringing the total value of medical assistance to EUR 4.3 million. Since part of this assistance has already been quantified and defined in IEH2, IEH3, IEH4, IEH5 and IEH6, we substract the quantified amounts from the total EUR 4.3 million mentioned in the source. Thus, the monetary value equals to EUR 2.197 million. Moreover, Ireland has contributed EUR 20 million through UN agencies and the Red Cross in our dataset. ",EUR,Allocation,2197000.0
CAH4,2022-06-28,Canada,"Canada announced to provide additional humanitarian assistance in the volume of 75 million CAD. Even though this money is provided not directly to Ukraine but rather to several partner organizations, we consider it as the government explicitly states that the total budget is devoted to ""humanitarian operations inside Ukraine"". Note that the loan discussed in the sources is covered in CAF4 and other humanitarian packages are reported in CAH3, CAH7 and CAH8.",CAD,Allocation,52500000.0
NLM5,2022-06-28,Netherlands,"In a common statement together with the German Minister, the Dutch Minister of Defence announced to provide together with Germany in total six additional Panzerhaubitze 2000, three by each of the both countries.",USD,Allocation,38443151.0
CAH6,2022-06-28,Canada,"Canada announced to provide 9.7 million CAD to support Ukrainian institutions regarding human rights violations, especially sexual and gender-based violence. The funding is also devoted to support Ukrainian police and judicial institutions. Note that the loan discussed in the sources is covered in CAF4 and other humanitarian packages are reported in CAH3, CAH6 and CAH7.",CAD,Allocation,6790000.0
CAH5,2022-06-28,Canada,"Canada announced to provide 52 million CAD to help Ukraine by providing storage capacities for grain. Thereby, 50 million CAD is devoted to storage and 2 million CAD for complementary equipment. Note that the loan discussed in the sources is covered in CAF4 and other humanitarian packages are reported in CAH3, CAH6 and CAH8. Later in September Ukrainian government report disbursement of these funds (Source of aid 2).",CAD,Allocation,36400000.0
NOM6,2022-06-29,Norway,"Source of Aid 1 mentions 5000 155mm Artillery shells, additionally to 5000 already donated. We report the additional 5000 155mm shells in this entry.",USD,Allocation,3606540.0
ESM7,2022-06-30,Spain,"According to the report on Spanish Exports of Defense Materials, Other Materials and Dual-Use Products and Technologies prepared by the Ministry of Industry, Commerce and Tourism, in the first half of 2022, it was exported to Ukraine material worth another 209.7 million euros. Since many items were not disclosed during this period, we report the difference in this entry.",EUR,Allocation,47666935.119119436
FRM2,2022-06-30,France,"Pledge of six additional CAESAR howitzers and an undisclosed number of Armored vehicles to Ukraine. Accoring to Source of Aid 2, thousands of CEASAR howitzer shells have been supplied to Ukraine as well. Since those are matching the Artillery committed, we assume they have been committed in this package as well. The Source of Aid 3 specified that France sent 60 APCs to Ukraine in 2022. Since VAB APCs were the only APCs committed in 2022 and we only recorded one commitment of armoured vehicles in 2022, we assume they were delivered in this package.  Source 4 clarifies this in-kind aid was provided out of French Army's stock.",USD,Allocation,102750173.0
EUF3,2022-07-01,EU (Commission and Council),"In light of urgent financial needs of the Ukrainian government, the Commission announced to grant Ukraine additional Macro-Financial Assistance, worth up to 9 billion EUR in 2022, guaranteed by the Union budget. Furthermore, it is stated that the Member States ""should"" make additional guarantees. ""Source of Aid 2"" refers to additional 0.6 billion EUR, which reflects one tranche of the entry EUF1. According to Source of Aid 3, the EU disbursed a total of EUR 6 billion from this MFA instrument, for a total of 7.2 billion (EUF1, EUF3) of disbursed MFA in 2022. The different MFAs are reported separately. Here, we report the first one billion agreement. According to ""Source of Aid 3"", these are loans with concessional terms, for which the EU provisions an interest rate subsidy, and with a maturity not exceeding 25 years.",EUR,Commitment,1000000000.0
LVH5,2022-07-01,Latvia,"On the 1st of July, the Foreign Ministry published a list of the projects that received the grant for their realization (Source of aid 1). Among those projects, a certain about is dedicated to direct aid to Ukraine. The total value of these projects is approximately 356 thousand EUR (Source of aid 2). ",EUR,Allocation,365000.0
AUH6,2022-07-01,Australia,"According to the web archive of the ""Crisis Hub"" page on the Australian government website from July 21, 2024 (Source 1), the Australian government has allocated a total of 800,000 AUD to Ukraine's State Nuclear Regulatory Inspectorate through the IAEA to support the safe and secure operation of nuclear facilities. Source of Aid 2 is a report from the Australian Radiation Protection and Nuclear Safety Agency indicating that in July 2022 Australia delivered ""equipment relating to radiation safety through the International Atomic Energy Agency 's (IAEA) Convention on Assistance in the Case of a Nuclear Accident or Radiological Emergency"".",AUD,Allocation,512000.0
AUM11,2022-07-04,Australia,"Deputy Prime Minister Richard Marles declared that Australia will contribute AUD 20 million to NATO's Comprehensive Assistance Package Trust Fund, in addition to the AUD 4.2 million or USD  3 million.",AUD,Allocation,12800000.0
AUM10,2022-07-04,Australia,"The government also announced A$8.7 million (US$6 million) to assist Ukraine’s Border Guard Service to upgrade border management equipment, improve cyber security and enhance border operations in the field.",AUD,Allocation,5568000.0
DEH9,2022-07-04,Germany,"Humanitarian aid from the German Federal Ministry for Economic Cooperation and Development. During the Ukraine Recovery Conference 2022 in Lugano, which took place in July, Germany announced 426 million EUR in humanitarian aid. On December 27th, Germany released a list of total aid to Ukraine provided in 2022. According to this list, the Federal Ministry of Economic Cooperation and Development committed 406 million EUR.  Source of aid 2 reports that 51 EUR million was disbursed through the WB, and we, therefore, report it separately, which we report in the current entry.",EUR,Allocation,51500000.0
DEH8,2022-07-04,Germany,"Humanitarian aid from the German Federal Ministry for Economic Cooperation and Development. During the Ukraine Recovery Conference 2022 in Lugano, which took place in July, Germany announced 426 million EUR in humanitarian aid. On December 27th, Germany released a list of total aid to Ukraine provided in 2022. According to this list, the Federal Ministry of Economic Cooperation and Development committed 406 million EUR. Source of aid 2 reports that 51 EUR million was disbursed through the WB, and we, therefore, report it separately (DEH9). Later it was specified (Source of aid 1) that this aid is provided for various different measurements, including 200 EUR million for internally displaced people, announced in September (Source of aid 3). It was reported in the DEH7 entry of our dataset, which is currently being replaced. We split the entry since one part is financial aid with humanitarian purposes (233 EUR million). ",EUR,Allocation,233000000.0
AUM9,2022-07-04,Australia,"The Australian Government announced AUD 99.5 million in military assistance, including 14 Armored personnel carriers, 20 Bushmaster protected mobility vehicles and other military equipment supplied by Australia’s defence industry, and a contribution to NATO’s Ukraine Comprehensive Assistance Package Trust Fund. This brings Australia’s total military assistance to Ukraine to approximately AUD 388 million. According to Source of Aid 2, the contribution towards the NATO Trust Fund is reported as AUD 20 million, which we report in the different entry. Source of Aid 2 also mentions that demining equipment will be provided to Ukraine as part of this package.",AUD,Allocation,50880000.0
CHF2,2022-07-04,Switzerland,"During the Ukraine Recovery Conference, 2022, in Lugano, the creation of the Ukraine Relief, Recovery, and Reconstruction Trust Fund (URTF) was announced. It was also mentioned that the founding donation will be done by Switzerland without indicating the amount. Later, on the World Bank overview page, it was specified that the donation provided by Switzerland was 58 USD million. Source of aid 3, however, reports different values. ",USD,Allocation,53940000.0
DEH7,2022-07-04,Germany,"Humanitarian aid from the German Federal Ministry for Economic Cooperation and Development. During the Ukraine Recovery Conference 2022 in Lugano, which took place in July, Germany announced 426 million EUR in humanitarian aid. On December 27th, Germany released a list of total aid to Ukraine provided in 2022. According to this list, the Federal Ministry of Economic Cooperation and Development committed 406 million EUR. Source of aid 2 reports that 51 EUR million was disbursed through the WB, and we, therefore, report it separately (DEH9). Later it was specified (Source of aid 1) that this aid is provided for various different measurements, including 200 EUR million for internally displaced people, announced in September (Source of aid 3). It was reported in the DEH7 entry of our dataset, which is currently being replaced. We split the entry since one part is financial aid with humanitarian purposes (233 EUR million). ",EUR,Allocation,121500000.0
LVH6,2022-07-05,Latvia,Latvia donated medicines and medical devices to Ukraine in the amount of 1.4 million euros.,EUR,Allocation,1400000.0
NLF3,2022-07-05,Netherlands,"According to Ukrinform correspondent, during the Ukraine Recovery Conference in Lugano, a representative of the Dutch government stated the Kingdom of the Netherlands had allocated a EUR 200 million loan for Ukraine, which will be used through the International Monetary Fund (IMF) on the day-to-day needs of Ukraine’s public sector, including the payment of salaries. Official source confirmed it later (Source of aid 2). Ukrainian government confirmed its disbursement later in December, 2022 and specified the condition:  the loan maturity is 10 years, the grace period is 4.5 years and the interest rate p.a. is 3.641%. (Source of aid 3). ",EUR,Allocation,200000000.0
ESF3,2022-07-06,Spain,"During the international Ukraine Recovery Conference in Lugano, Secretary of State of the Foreign Ministry for International Cooperation Pilar Cancela Rodríguez said that Spain might allocate EUR 250 million to Ukraine (Source of Aid 1). Source of Aid 2 specifies that 50 million euros from this package will go to food security and cities. Another parts of this package are reported in  ESF1 (budget support through World Bank) and ESF2 (guarantee through EBRD).",EUR,Allocation,49700000.0
ESF2,2022-07-06,Spain,"During the international Ukraine Recovery Conference in Lugano, Secretary of State of the Foreign Ministry for International Cooperation Pilar Cancela Rodríguez said that Spain might allocate EUR 250 million to Ukraine (Source of Aid 1). Source of Aid 2 specifies that 100 million euros from this package will be issued as guarantee for the European Bank for Reconstruction and Development (EBRD) of which EUR 50 million will allocated to the EBRD´s Crisis Response Special Fund (CRSF). Another parts of this package are reported in ESF1 (budget support trougth World Bank) and ESF3 (World Bank's Peace Multi-Donor Trust Fund, intended to provide direct budget support to Ukraine).",EUR,Allocation,100000000.0
ESF1,2022-07-06,Spain,"During the international Ukraine Recovery Conference in Lugano, Secretary of State of the Foreign Ministry for International Cooperation Pilar Cancela Rodríguez said that Spain might allocate EUR 250 million to Ukraine (Source of Aid 1). Source of Aid 2 specifies that 100 million euros from this package will be issued for the multi-donor fund of the World Bank, which provides direct financial support to the budget of Ukraine. Another parts of this package are reported in ESF2 (guarantee through EBRD) and ESF3 (World Bank's Peace Multi-Donor Trust Fund, intended to provide direct budget support to Ukraine).",EUR,Allocation,100000000.0
LVM2,2022-07-07,Latvia,"During the interview with Ukrinform, the president of Latvia Egils Levits said that so far, Latvia has provided 250 million euros to Ukraine for military assistance(Source of Aid 1). Since in LVM1 we reported 218.8 million euros, we calculate that Latvia donated another 30 million euros. (we don't count 1.2 million euros dedicated to the European peace facility). He also specified that this help is already provided, so we consider it to be delivered. As the interview was conducted in July, we also consider this aid package to have been committed and delivered entirely in July for Analysis of Aid over time purposes.",EUR,Allocation,30000000.0
LTM5,2022-07-10,Lithuania,"Arvydas Anušauskas, Lithuanian defence minister, says in July 2022 that they provided 123 million EUR of military aid to this point. Still, ""Source of Aid 2"" states that Bayraktar drones listed in ""Source of aid 1"" and thus included in 123 million EUR of military aid were covered by private donations. Considering that Luthiania previously provided 115 million EUR, we calculate this package to be worth 8 million EUR with private donations and 2 million EUR without. Thus, we report 2 million EUR. Arvydas Anušauskas also specifies which weapons were sent so far, so we consider this package to contain only those weapons that have not been specifically indicated in previous ones.",EUR,Allocation,2000000.0
UKH7,2022-07-11,United Kingdom,£5 million support fund for providing safety and security equipment to Ukraine's civil nuclear sector,GBP,Allocation,5800000.0
LTH5,2022-07-11,Lithuania,Lithuanian government approves 10 million euros in aid for Ukraine's rebuilding needs,EUR,Allocation,10000000.0
ESM8,2022-07-12,Spain,"According to the Spanish newspaper Infodefensa (""Source of aid 1""), the Spanish defence ministry and army decided to donate 10 Leopards and 20 M113 to Ukraine. Still, later in August, Spanish Defence Minister Margarita Robles reported that Spain could not send its mothballed Leopard-2A4 tanks to Ukraine as they are ""in an absolutely deplorable state (Source of Aid 2), so we don't include leopards in the dataset. We also deleted Leopards from ESM5, since these are the same Leopards. In January 2023, Spanish media revealed that this package will soon be prepared for delivery (Source of delivery).",USD,Allocation,1056713.0
SEM7,2022-07-12,Sweden,Financial grant directed to the Armed Forces of Ukraine.,SEK,Allocation,50837600.0
BEM4,2022-07-15,Belgium,"The Belgium government disclosed further details on the content of the packages delivered to Ukraine for the first year of war in January 2023 (Source of aid 1). Here, we report military aid omitted from other packages with official announcements.",EUR,Allocation,10639008.0
BEH4,2022-07-15,Belgium,"The Belgian Government approved the shipment of medical equipment, basic supplies and medicines. which will be carried by 11 trucks. The total cost of the aid amounts to 800000 EUR. ",EUR,Allocation,800000.0
LTM6,2022-07-20,Lithuania,"Arvydas Anušauskas, Lithuanian defence minister, committed additional M113 and M577 military vehicles to be delivered ""in the nearest future"". We estimate the total monetary value using more recent reports (see LTM8). Source of delivery indicates the amount of M113 found in LTM4, LTM6 and LTM7.",USD,Allocation,1056713.0
EUM5,2022-07-22,European Peace Facility,The EU increased the total resources of the European Peace Facility to 2.5 billion EUR with a fifth tranche worth 500 million EUR.,EUR,Commitment,500000000.0
EIF3,2022-07-25,European Investment Bank,"The EIB announced the increasement of the Ukraine Solidarity Urgent Response package  by EUR 1.59 billion. Source of Aid 1 specifies that EUR 1.05 billion of immidiate assistant will be paid in September for immidiate financial help supporting important infrastructure. EUR 540 million will be disbursed in 2023 and will mainly focus on education, transportation and energy infrastructure as well as reconstruction and recovery programmes.",EUR,Allocation,1590000000.0
PLM3,2022-07-25,Poland,"On July 25, Andrii Yermak, the head of the Office of the President of Ukraine, confirmed the delivery of an unknown amount of РТ-91 Twardy main battle tanks to Ukraine (Source of aid 1). In September 2022, during an interview with Spiegel, Polish Prime Minister Mateusz Morawiecki stated that Poland donated 300 tanks in total (Source of aid 2). Since Poland previously donated 240 T-72 tanks and yet an unknown amount of PT-91 Twardy, we assume, based on this statement, that the amount of PT-91 donated is 60. Later in February, Polish Prime Minister stated the different amount of tanks donated, which was ""250 tanks... or even more than that"" (Source of aid 3). Since there is no other official source, we have to rely on the most recent information, which is 250 total tanks provided in total. We also assume that ""even more"" could not refer to a critical amount and thus stick to 250. Therefore, we decrease the amount of PT-91 to 10 (250-240). ",USD,Allocation,30860474.0
USH7,2022-07-27,United States,"In March and May 2022, the US announced the provision of humanitarian aid to Ukraine through USAID and directly with the state budget. (Source of aid 1 and 2). Later this year, congressional research service (Source of aid 3) and USAID documents (Source of aid 4) revealed that only approximately 1.2 billion USD were disbursed in FY2022. Thus, since the fiscal year is over, we report disbursements here using Source of aid 4 to indicate the dynamic over time. Therefore a total of 1.2 billion USD is reported in  USH3, USH5-USH9. Please note that we report assistance to the energy sector of Ukraine separately in USH2 and USH4 since a different department of the US government provided it.",USD,Allocation,362709074.01
FIF3,2022-07-27,Finland,"The Finnish ministry of foreign affairs published, that it will support Ukraine with EUR 11.8 million through the World Bank FREE Ukraine support package (Source of Aid 1) through various international organisations (OSCE, World Bank etc.). Since we already acount for the EUR 5.8 million contribution to the ""Partnership Fund for a Resilient Ukraine"" in FIF1, we will add the remaining EUR 6 million here.",EUR,Allocation,6000000.0
LTM7,2022-07-28,Lithuania,"According to the correspondent of ukrinform, Lithuanian president Gitanas Nauseda announced a new package of military aid, which includes military ammunition and 10 Armored vehicles (Source of Aid 1). President did not reveal which Armored vehicles are to be sent to Ukraine but based on previous commitments and stocks of the Lithuanian army; we assume it goes about M113. The exact type of ammunition, however, remains unknown.",USD,Allocation,528356.0
NOM7,2022-07-29,Norway,"According to official website of Norwegian government, Norway has donated 14 IVECO LAV III armored patrol vehicles to Ukraine.",USD,Allocation,15459458.0
DEH10,2022-08-01,Germany,"Humanitarian aid from the German Federal Ministry of Health. According to the recent publication of the list of German aid to Ukraine (Source of aid 1), the German Federal Ministry of Health spent 2.3 EUR million for the telemedical project of the Charité and the Robert Koch Institute (RKI). It was comitted in August 2022 (Source of aid 2).",EUR,Allocation,2300000.0
DKH12,2022-08-01,Denmark,"In August 2022, the Danish Ministry of the Interior reported a reconstruction commitment for the city of  Mykolaiv (Source of Aid 1). Initially, this commitment was over 13.4 million EUR, but increased in November 2022 to 16 million EUR (Source of Aid 2). This donation will report the entire reconstruction effort. ",EUR,Allocation,16000000.0
EEH4,2022-08-02,Estonia,"On Aug 2, Estonian FM visited Zhytomyr in Ukraine and laid the cornerstone for a new new kindergarten school in Ovruch. We do not assume it to be a part of 2.9 million reconstruction pledge made by Estonia on 5 May 2022. Source of aid 4 specified the donation value.",EUR,Allocation,4500000.0
BEF1,2022-08-02,Belgium,"According to the official WB list, the Netherlands committed to a guarantee of PEACE MDTF, which was not listed in the previous donations (Source of aid 1). The project consisted of four tranches so far, and Belgium was not listed among the donors for any of them. Still, in the official PDF for the third tranche, Belgium is listed as a donor for the first or second tranche (Source of aid 2). The document for the first tranche does not list Belgium among donors (Source of aid 3). Therefore, we assign this donation to a second tranche that took place in August 2022.",EUR,Allocation,3100000.0
